x,y,sonar_depth
0.0,-0.0,70.34509803921569
0.0,-0.0013208437,70.34509803921569
0.0,-0.0039154133,70.34509803921569
0.0,-0.007738098,65.27254901960784
0.0,-0.01274466,65.27254901960784
0.0,-0.018892111,65.27254901960784
0.0,-0.026138615,65.27254901960784
0.0,-0.034443405,65.27254901960784
0.0,-0.043766707,65.27254901960784
0.0,-0.05406971,65.27254901960784
0.0,-0.06531451,65.27254901960784
0.0,-0.0774641,65.27254901960784
0.0,-0.09048237,65.27254901960784
0.0,-0.10433405,65.27254901960784
0.0,-0.118984744,65.27254901960784
0.0,-0.13440092,65.27254901960784
0.0,-0.1505499,65.27254901960784
0.0,-0.16739987,65.27254901960784
0.0,-0.18491982,65.27254901960784
0.0,-0.20307963,65.27254901960784
0.0,-0.22185,65.27254901960784
0.0,-0.24120243,65.27254901960784
0.0,-0.26110932,65.27254901960784
0.0,-0.28154382,65.27254901960784
0.0,-0.3024799,65.27254901960784
0.0,-0.32389233,65.27254901960784
0.0,-0.34575665,65.27254901960784
0.0,-0.3680492,65.27254901960784
0.0,-0.39074704,65.27254901960784
0.0,-0.41382802,65.27254901960784
0.0,-0.4372706,65.27254901960784
0.0,-0.46105418,65.27254901960784
0.0,-0.4851586,65.27254901960784
0.0,-0.5095646,65.27254901960784
0.0,-0.53425336,65.27254901960784
0.0,-0.55920696,65.27254901960784
0.0,-0.584408,65.27254901960784
0.0,-0.60983956,65.27254901960784
0.0,-0.63548565,65.27254901960784
0.0,-0.6613305,65.27254901960784
0.0,-0.6873592,65.27254901960784
0.0,-0.71355724,65.27254901960784
0.0,-0.73991066,65.27254901960784
0.0,-0.7664061,65.27254901960784
0.0,-0.7930307,65.27254901960784
0.0,-0.8197719,65.27254901960784
0.0,-0.8466178,65.27254901960784
0.0,-0.87355703,65.27254901960784
0.0,-0.9005785,65.27254901960784
0.0,-0.9276716,65.27254901960784
0.0,-0.95482624,65.27254901960784
0.0,-0.98203254,65.27254901960784
0.0,-1.0092812,65.27254901960784
0.0,-1.036563,65.27254901960784
0.0,-1.0638696,65.27254901960784
0.0,-1.0911926,65.27254901960784
0.0,-1.1185241,65.27254901960784
0.0,-1.1458564,65.27254901960784
0.0,-1.1731822,65.27254901960784
0.0,-1.2004945,65.27254901960784
0.0,-1.2277868,65.27254901960784
