x,y,sonar_depth
0.0,-0.0,70.34509803921569
-0.00066042185,-0.0,70.34509803921569
-0.0019578217,-0.0,70.34509803921569
-0.003869614,-0.0,70.34509803921569
-0.0063740225,-0.0,70.34509803921569
-0.009450035,-0.0,65.27254901960784
-0.013077361,-0.0,65.27254901960784
-0.017236391,-0.0,65.27254901960784
-0.021908157,-0.0,65.27254901960784
-0.027074305,-0.0,65.27254901960784
-0.032717057,-0.0,65.27254901960784
-0.038819175,-0.0,65.27254901960784
-0.045363963,-0.0,65.27254901960784
-0.0523352,-0.0,65.27254901960784
-0.059717156,-0.0,65.27254901960784
-0.067494564,-0.0,65.27254901960784
-0.075652584,-0.0,65.27254901960784
-0.084176816,-0.0,0.5
-0.09305327,-0.0,0.5
-0.10226835,-0.0,0.5
-0.11180888,-0.0,0.5
-0.121662036,-0.0,0.5
-0.13181537,-0.0,0.5
-0.14225683,-0.0,65.27254901960784
-0.15297467,-0.0,65.27254901960784
-0.16395752,-0.0,65.27254901960784
-0.17519438,-0.0,65.27254901960784
-0.18667454,-0.0,65.27254901960784
-0.19838762,-0.0,65.27254901960784
-0.21032359,-0.0,65.27254901960784
-0.2224727,-0.0,65.27254901960784
-0.2348255,-0.0,65.27254901960784
-0.2473729,-0.0,65.27254901960784
-0.260106,-0.0,65.27254901960784
-0.27301627,-0.0,65.27254901960784
-0.2860954,-0.0,65.27254901960784
-0.29933542,-0.0,65.27254901960784
-0.3127285,-0.0,65.27254901960784
-0.3262672,-0.0,65.27254901960784
-0.33994424,-0.0,65.27254901960784
-0.35375264,-0.0,65.27254901960784
-0.3676856,-0.0,65.27254901960784
-0.38173655,-0.0,65.27254901960784
-0.39589924,-0.0,65.27254901960784
-0.4101675,-0.0,65.27254901960784
-0.42453542,-0.0,65.27254901960784
-0.4389974,-0.0,65.27254901960784
-0.45354784,-0.0,65.27254901960784
-0.4681815,-0.0,65.27254901960784
-0.48289323,-0.0,65.27254901960784
-0.4976781,-0.0,65.27254901960784
-0.51253134,-0.0,65.27254901960784
-0.5274484,-0.0,65.27254901960784
-0.5424248,-0.0,65.27254901960784
-0.55745625,-0.0,65.27254901960784
-0.57253873,-0.0,65.27254901960784
-0.5876682,-0.0,65.27254901960784
-0.60284084,-0.0,65.27254901960784
-0.618053,-0.0,65.27254901960784
-0.6333011,-0.0,65.27254901960784
-0.6485817,-0.0,65.27254901960784
-0.66389155,-0.0,65.27254901960784
-0.6792275,-0.0,65.27254901960784
-0.69458646,-0.0,65.27254901960784
-0.70996547,-0.0,65.27254901960784
-0.72536176,-0.0,65.27254901960784
-0.7407726,-0.0,65.27254901960784
-0.7561953,-0.0,65.27254901960784
-0.7716275,-0.0,65.27254901960784
-0.7870666,-0.0,65.27254901960784
-0.8025103,-0.0,65.27254901960784
-0.81795645,-0.0,65.27254901960784
-0.8334029,-0.0,65.27254901960784
-0.84884745,-0.0,65.27254901960784
-0.8642883,-0.0,65.27254901960784
-0.8797233,-0.0,65.27254901960784
-0.8951508,-0.0,65.27254901960784
-0.91056895,-0.0,65.27254901960784
-0.9259761,-0.0,65.27254901960784
-0.9413706,-0.0,65.27254901960784
-0.9567509,-0.0,65.27254901960784
-0.9721155,-0.0,65.27254901960784
-0.98746294,-0.0,65.27254901960784
-1.0027918,-0.0,65.27254901960784
-1.0181009,-0.0,70.34509803921569
-1.0333887,-0.0,70.34509803921569
-1.0486543,-0.0,70.34509803921569
-1.0638963,-0.0,70.34509803921569
-1.0791136,-0.0,70.34509803921569
-1.0943053,-0.0,70.34509803921569
-1.1094702,-0.0,70.34509803921569
-1.1246073,-0.0,70.34509803921569
-1.1397159,-0.0,70.34509803921569
-1.1547948,-0.0,70.34509803921569
-1.1698432,-0.0,70.34509803921569
-1.1848603,-0.0,70.34509803921569
-1.1998456,-0.0,70.34509803921569
-1.2147977,-0.0,70.34509803921569
-1.2297165,-0.0,70.34509803921569
-1.244601,-0.0,70.34509803921569
-1.2594506,-0.0,70.34509803921569
-1.2742646,-0.0,70.34509803921569
-1.2890425,-0.0,70.34509803921569
-1.3037837,-0.0,70.34509803921569
-1.3184876,-0.0,70.34509803921569
-1.3331537,-0.0,70.34509803921569
-1.3477817,-0.0,70.34509803921569
-1.3623707,-0.0,70.34509803921569
-1.3769206,-0.0,70.34509803921569
-1.3914309,-0.0,70.34509803921569
-1.4059012,-0.0,70.34509803921569
-1.420331,-0.0,70.34509803921569
-1.4347199,-0.0,70.34509803921569
-1.4490678,-0.0,70.34509803921569
-1.4633743,-0.0,70.34509803921569
-1.4776388,-0.0,70.34509803921569
-1.4918613,-0.0,70.34509803921569
-1.5060415,-0.0,70.34509803921569
-1.520179,-0.0,70.34509803921569
-1.5342737,-0.0,70.34509803921569
-1.5483253,-0.0,70.34509803921569
-1.5623336,-0.0,70.34509803921569
-1.5762982,-0.0,70.34509803921569
-1.5902193,-0.0,70.34509803921569
-1.6040964,-0.0,70.34509803921569
-1.6179293,-0.0,70.34509803921569
-1.6317182,-0.0,70.34509803921569
-1.6454626,-0.0,70.34509803921569
-1.6591625,-0.0,70.34509803921569
-1.6728177,-0.0,70.34509803921569
-1.6864282,-0.0,70.34509803921569
-1.6999938,-0.0,70.34509803921569
-1.7135146,-0.0,70.34509803921569
-1.7269902,-0.0,70.34509803921569
-1.7404207,-0.0,70.34509803921569
-1.7538061,-0.0,70.34509803921569
-1.7671461,-0.0,70.34509803921569
-1.7804409,-0.0,70.34509803921569
-1.7936903,-0.0,70.34509803921569
-1.8068944,-0.0,70.34509803921569
-1.820053,-0.0,70.34509803921569
-1.8331661,-0.0,70.34509803921569
-1.8462337,-0.0,70.34509803921569
-1.8592559,-0.0,70.34509803921569
-1.8722326,-0.0,70.34509803921569
-1.8851637,-0.0,70.34509803921569
-1.8980492,-0.0,70.34509803921569
-1.9108894,-0.0,70.34509803921569
-1.923684,-0.0,70.34509803921569
-1.9364332,-0.0,70.34509803921569
-1.9491369,-0.0,70.34509803921569
-1.9617951,-0.0,70.34509803921569
-1.974408,-0.0,70.34509803921569
-1.9869756,-0.0,70.34509803921569
-1.9994977,-0.0,70.34509803921569
-2.0119746,-0.0,70.34509803921569
-2.0244062,-0.0,70.34509803921569
-2.0367928,-0.0,70.34509803921569
