step,att_err_deg,ax,ay,az,sonar_range,map_depth,x,y,z,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,dr_x,dr_y,dr_z,dr_vx,dr_vy,dr_vz
16,0.16905943256185227,0.6882400123666261,-0.6874393932202729,-0.3024441476879147,64.4921568627451,-64.81306457519531,-19.865425,-9.864512,-0.5659767,-19.873000238815735,-10.12443423038823,-0.4839320273167147,0.460706258042051,-0.45125124604679895,-0.32578333077507204,-19.865321801181704,-10.13195508448901,-0.48386597308519785,0.460706258042051,-0.45125124604679895,-0.2604538257174176
17,0.18783810778673135,0.6942990219560046,-0.616195140988873,-0.32280167944820093,64.4921568627451,-64.8051528930664,-19.849243,-9.84808,-0.57152706,-19.857257641868802,-10.139818269223673,-0.49052824574670856,0.48384955877391783,-0.4717910840797614,-0.32623978148421895,-19.849193482555908,-10.147681453958334,-0.4929064358084987,0.48384955877391783,-0.4717910840797614,-0.2712138816990243
18,0.16969606350195646,0.6679919086516757,-0.640362784533573,-0.2947605454876623,64.4921568627451,-64.79708099365234,-19.832357,-9.830895,-0.57668924,-19.840758216627087,-10.155900395795516,-0.4965712730455372,0.5061159557289737,-0.4931365102308805,-0.32494499811857747,-19.832322950698277,-10.164119337632696,-0.502274410249008,0.5061159557289737,-0.4931365102308805,-0.2810392332152797
19,0.1238362304288097,0.6747761521158346,-0.6274358790708318,-0.37561460043140116,64.4921568627451,-64.78893280029297,-19.814798,-9.812985,-0.58147466,-19.82351280912939,-10.17268685495825,-0.5021353040779872,0.5286084941328348,-0.5140510395332416,-0.3257602626575369,-19.814702667560518,-10.181254372283805,-0.5120597342455522,0.5286084941328348,-0.5140510395332416,-0.2935597198963264
20,0.12184236136796214,0.674508227078505,-0.5172491346045894,-0.3416110616146195,64.4921568627451,-64.78074645996094,-19.796595,-9.794375,-0.5858946,-19.80551779919881,-10.190109250239695,-0.5072856960359373,0.5510921017021183,-0.5312926773533946,-0.3250338326450669,-19.796332930837114,-10.198964128195584,-0.5222246260883349,0.5510921017021183,-0.5312926773533946,-0.30494675528348036
21,0.14140287964457657,0.7193115184480515,-0.6535254964434405,-0.33656833754677606,64.4921568627451,-64.77261352539062,-19.777775,-9.775088,-0.58996004,-19.78674844496516,-10.20818207587172,-0.5120428390308677,0.5750691523170534,-0.553076860568176,-0.32388057224732447,-19.777163959093212,-10.217400023547857,-0.5327634827506139,0.5750691523170534,-0.553076860568176,-0.3161656998683729
22,0.08606263695682612,0.6245066221831351,-0.5219704306876684,-0.25952516648113644,64.4921568627451,-64.76460266113281,-19.758366,-9.755148,-0.59368193,-19.76723252509782,-10.226907954796598,-0.5164072528111299,0.5958860397231579,-0.5704758749244315,-0.3200303946251023,-19.75730109110244,-10.236415886045338,-0.5435907007089832,0.5958860397231579,-0.5704758749244315,-0.32481653875107747
23,0.13842118429508993,0.5286227014614796,-0.49148600890531835,-0.2885484006457055,64.4921568627451,-64.75676727294922,-19.738398,-9.734576,-0.5970711,-19.747075977828462,-10.246196865076804,-0.5203978379035328,0.6135067964385406,-0.5868587418879422,-0.3171245999396158,-19.73685086455449,-10.25597784410827,-0.5547385280014032,0.6135067964385406,-0.5868587418879422,-0.334434818772601
24,0.12646040274699077,0.5353287737224195,-0.45196502980282866,-0.356306651084795,64.4921568627451,-64.74922943115234,-19.717894,-9.713394,-0.6001381,-19.726328346406223,-10.266009914822959,-0.5241038003498489,0.6313510888959546,-0.6019242428813698,-0.31652372986272287,-19.71580582825796,-10.276041985537649,-0.5662822515728063,0.6313510888959546,-0.6019242428813698,-0.3463117071420942
25,0.12022948825659897,0.5141233241157017,-0.4344686599381873,-0.33356929810570435,64.4921568627451,-64.7420654296875,-19.69688,-9.691621,-0.6028934,-19.704997686040738,-10.286315427730083,-0.5275795752158673,0.6484885330331447,-0.616406531545976,-0.31525836936835394,-19.694189543823523,-10.296588869922514,-0.5781966076976602,0.6484885330331447,-0.616406531545976,-0.35743068374561765
26,0.10001499827763309,0.40008552498006705,-0.45072742806856697,-0.32464655185897406,64.4921568627451,-64.7353515625,-19.675383,-9.669277,-0.6053471,-19.6831591318702,-10.307112716241653,-0.5308373668371829,0.6618247171991469,-0.6314307791482616,-0.31382862680830403,-19.672128719916884,-10.31763656256079,-0.5904716822134686,0.6618247171991469,-0.6314307791482616,-0.3682522354742501
27,0.12220349434396455,0.47326658111411335,-0.4961603412404941,-0.3154543080323329,64.4921568627451,-64.72915649414062,-19.653421,-9.646381,-0.6075092,-19.660835382085168,-10.32843605351395,-0.5338959169362452,0.6776002699029507,-0.6479694571896114,-0.31225693455221243,-19.64954204425345,-10.33923554446711,-0.6030972615159795,0.6776002699029507,-0.6479694571896114,-0.37876737907532787
28,0.11466228707106675,0.5076597290423941,-0.4199900897671979,-0.3137133062786255,64.4921568627451,-64.7235336303711,-19.631023,-9.622951,-0.60938936,-19.63796667323893,-10.35026836324792,-0.5367761473219109,0.6945222608710305,-0.661969126848518,-0.3108151359067727,-19.626391302224416,-10.361301182028727,-0.6160714111588,0.6945222608710305,-0.661969126848518,-0.3892244892846154
29,0.11381258782428257,0.4782210457139741,-0.38753673777264835,-0.26593980142869533,64.4921568627451,-64.71855163574219,-19.608208,-9.599002,-0.61099714,-19.614550252851167,-10.372549298997189,-0.5394789069822599,0.7104629623948296,-0.6748870181076063,-0.3079905210731397,-19.60270920347792,-10.383797415965647,-0.6293410494698747,0.7104629623948296,-0.6748870181076063,-0.39808914933223855
30,0.12516329373144697,0.3837029394482815,-0.4467329585438958,-0.1938522300152954,64.4921568627451,-64.71431732177734,-19.584997,-9.574553,-0.6123417,-19.590654985804978,-10.395293717911077,-0.5419724587024475,0.723253060376439,-0.6897781167257362,-0.30300038422908704,-19.57860076813204,-10.406790019856505,-0.642826079147633,0.723253060376439,-0.6897781167257362,-0.4045508903327484
31,0.14059480236318647,0.3666283784332307,-0.38636326137238175,-0.262886641847631,64.4921568627451,-64.71086883544922,-19.56141,-9.549617,-0.61343217,-19.566342868026634,-10.418500968058252,-0.5442863600044773,0.7354740063242133,-0.7026568921048156,-0.3005674406649738,-19.554084967921234,-10.43021191626,-0.6566032050941109,0.7354740063242133,-0.7026568921048156,-0.4133137783943361
32,0.1305361753402359,0.3307239132344311,-0.3559811136120055,-0.34140106307894946,64.4921568627451,-64.70826721191406,-19.53747,-9.52421,-0.6142773,-19.541643332308475,-10.442120631747086,-0.5465219925384792,0.746498136765361,-0.7145229292252158,-0.3010074019766193,-19.529201696695722,-10.454029347234172,-0.6707596655551209,0.746498136765361,-0.7145229292252158,-0.4246938138303011
33,0.08714340187760897,0.3783747042596383,-0.36699455706321704,-0.26633824037585363,64.4921568627451,-64.70657348632812,-19.513193,-9.498347,-0.6148856,-19.51654985291393,-10.466141948586294,-0.5486994085150946,0.759110626907349,-0.726756081127323,-0.29919884855010465,-19.503898009132143,-10.478254549938416,-0.6852120573943263,0.759110626907349,-0.726756081127323,-0.43357175517616287
34,0.13246291295924406,0.27914457074096066,-0.26183398912130174,-0.23930174089670864,64.4921568627451,-64.70584869384766,-19.488598,-9.47204,-0.6152654,-19.491091085033272,-10.490512614617828,-0.5507851344373962,0.7684154459320477,-0.7354838807646997,-0.29674721272771554,-19.478284160934408,-10.502770679297239,-0.6999303400567504,0.7684154459320477,-0.7354838807646997,-0.44154847987271983
35,0.11768187858573312,0.3204070748450326,-0.4147722618654497,-0.1480062474115016,64.4921568627451,-64.70614624023438,-19.463703,-9.445302,-0.61542475,-19.465299232905068,-10.51525917301102,-0.5527417499278818,0.7790956817602155,-0.7493096228268814,-0.2915208252192793,-19.452314304875735,-10.527747666724801,-0.7148130741051871,0.7790956817602155,-0.7493096228268814,-0.44648202145310323
36,0.12772469959627816,0.33629978305694985,-0.3647919910927654,-0.2751730914894921,64.4921568627451,-64.70748138427734,-19.438524,-9.418146,-0.61537135,-19.439142543633587,-10.540438822655856,-0.554612354373168,0.7903056745287805,-0.7614693558633069,-0.29080440233367094,-19.425970782391442,-10.553129978586911,-0.7300015560330567,0.7903056745287805,-0.7614693558633069,-0.4556544578360863
37,0.16253040602712635,0.3555192045800395,-0.3880206337970035,-0.2432334800749416,64.4921568627451,-64.70989227294922,-19.41308,-9.390584,-0.61511284,-19.412601510480084,-10.566036701536742,-0.5564658355878488,0.8021563146814485,-0.7744033769898737,-0.2892879896800507,-19.399232238568725,-10.578943424486575,-0.7454602973832317,0.8021563146814485,-0.7744033769898737,-0.46376224050525106
38,0.15086983296417825,0.2638096542560068,-0.3163794619026568,-0.19810234045755415,64.4921568627451,-64.71343231201172,-19.387384,-9.362626,-0.61465657,-19.385716405738336,-10.592025913804129,-0.5582787511991639,0.8109499698233155,-0.7849493590532957,-0.2865301078297346,-19.37220057290795,-10.605108403121685,-0.7611391524450263,0.8109499698233155,-0.7849493590532957,-0.4703656518538362
39,0.14337217737884317,0.26350710819183554,-0.2804057168906999,-0.15192721429316336,64.4921568627451,-64.7181167602539,-19.361452,-9.334283,-0.6140095,-19.358538347239676,-10.618346673393066,-0.5600226632021958,0.8197335400963767,-0.7942962162829856,-0.2824977118457522,-19.344876121571403,-10.631584943664452,-0.7769868155227021,0.8197335400963767,-0.7942962162829856,-0.475429892330275
40,0.17264052480551648,0.29831275810644337,-0.27020133327862694,-0.20897696103170027,64.4921568627451,-64.72396850585938,-19.335299,-9.305564,-0.61317855,-19.33104816659307,-10.644973325787655,-0.5617232971111973,0.8296772986999248,-0.8033029273922732,-0.28063026453989,-19.31722021161474,-10.65836170791086,-0.7930666752237465,0.8296772986999248,-0.8033029273922732,-0.4823957910313317
41,0.19637695449519793,0.24119171513721882,-0.3713544712948374,-0.15331006814608017,64.4921568627451,-64.73099517822266,-19.308937,-9.27648,-0.6121703,-19.303258261239108,-10.671956398073672,-0.5633990459368975,0.8377170225378321,-0.8156814097687677,-0.2771670584143353,-19.289296310863477,-10.685551088236485,-0.8093168794449532,0.8377170225378321,-0.8156814097687677,-0.487506126636201
42,0.15748042434875428,0.2499677448452922,-0.357999013107781,-0.20346254402618058,64.4921568627451,-64.73919677734375,-19.282381,-9.247039,-0.6109912,-19.275195489518488,-10.699344666739913,-0.5650629016810589,0.8460492806993418,-0.8276147102056938,-0.2756305968518652,-19.2610946681735,-10.713138245243341,-0.8257931531595224,0.8460492806993418,-0.8276147102056938,-0.4942882114370737
43,0.20095845086723646,0.17817932300882044,-0.27256734070551075,-0.2617523478954755,64.4921568627451,-64.74856567382812,-19.255646,-9.21725,-0.6096473,-19.246894858315727,-10.72708325004716,-0.5667841360709107,0.8519885914663025,-0.8367002882292108,-0.2762803647529086,-19.232695048457956,-10.741028254850981,-0.8425602628161976,0.8519885914663025,-0.8367002882292108,-0.5030132897002562
44,0.1417777036903159,0.17054390907738928,-0.2701760927086443,-0.183943470414345,64.4921568627451,-64.75908660888672,-19.22874,-9.187121,-0.6081446,-19.21840049198403,-10.755123357484083,-0.5685607669243335,0.8576733884355487,-0.8457061579861657,-0.27456895293646255,-19.204105935510103,-10.769218460117187,-0.8595317541066665,0.8576733884355487,-0.8457061579861657,-0.5091447387140676
45,0.16001752229739,0.22769171532640953,-0.2201813818743309,-0.263730962241425,64.4921568627451,-64.77071380615234,-19.20168,-9.15666,-0.6064887,-19.189684883638776,-10.78343588574022,-0.5704010828751894,0.8652631122797624,-0.8530455373819767,-0.2757381133553438,-19.175263831767445,-10.797653311363254,-0.8767962797996259,0.8652631122797624,-0.8530455373819767,-0.5179357707887818
46,0.16988932746245305,0.17859741157200393,-0.21396377589827217,-0.17442478783248738,64.4921568627451,-64.783447265625,-19.174473,-9.1258745,-0.6046851,-19.16074355911191,-10.811989605750673,-0.5723068031047626,0.8712163593321625,-0.8601776632452525,-0.2741408206584329,-19.146223286456372,-10.826325900138096,-0.8942546108123992,0.8712163593321625,-0.8601776632452525,-0.5237499303831981
47,0.17807556807551797,0.1396760152164198,-0.32798712314208633,-0.24574583510134218,64.4921568627451,-64.79724884033203,-19.147133,-9.0947695,-0.60273904,-19.131625416014607,-10.840844409593927,-0.5742745379514831,0.8758722265060431,-0.8711105673499887,-0.2751213216888788,-19.11702754557284,-10.855362919049762,-0.9119859927530629,0.8758722265060431,-0.8711105673499887,-0.5319414582199095
48,0.1464610919917285,0.2271678267256422,-0.1855638223059819,-0.07710427800018493,64.4921568627451,-64.81206512451172,-19.119667,-9.063354,-0.60065544,-19.102303470782893,-10.869984519517985,-0.5762597232248844,0.8834444873968978,-0.8772960280935215,-0.27067459344050177,-19.087579395992943,-10.884606119986213,-0.9298030461137268,0.8834444873968978,-0.8772960280935215,-0.5345116008199157
49,0.13723930325039466,0.11576100639458509,-0.20461373136353306,-0.09601262520187603,64.4921568627451,-64.82786560058594,-19.092089,-9.031632,-0.59843916,-19.07279100953278,-10.899341394749637,-0.5781938703002063,0.8873031876100507,-0.8841164858056393,-0.26705158684671465,-19.058002623072607,-10.914076669513067,-0.9477267801690594,0.8873031876100507,-0.8841164858056393,-0.5377120216599782
50,0.17847010262595855,0.19092456962033824,-0.20699469584762756,-0.16178318632336186,64.4921568627451,-64.84459686279297,-19.064405,-8.999612,-0.5960948,-19.043108167407098,-10.92892694132974,-0.5801329648599622,0.8936673399307287,-0.8910163090005602,-0.2658084084343298,-19.028213711741582,-10.943777213146419,-0.9658302733203069,0.8936673399307287,-0.8910163090005602,-0.5431047945374237
51,0.12487211191414097,0.18930443088348906,-0.1772493876071447,-0.15814600256865674,64.4921568627451,-64.8621826171875,-19.036629,-8.967297,-0.59362686,-19.013214086947805,-10.958725956845095,-0.5821159635370704,0.8999774876268449,-0.8969246219207984,-0.2646218864525668,-18.99821446215402,-10.973674700543778,-0.9841094842521863,0.8999774876268449,-0.8969246219207984,-0.5483763279563789
52,0.1432946555543279,0.17676921110060373,-0.12683514519656763,-0.2103944122065151,64.4921568627451,-64.88059997558594,-19.008766,-8.934692,-0.5910396,-18.983116632242965,-10.988693908212008,-0.5841716436303589,0.9058697946635317,-0.9011524600940173,-0.2653436735655243,-18.968018802331905,-11.003713115880245,-1.002622466753184,0.9058697946635317,-0.9011524600940173,-0.5553894750299294
53,0.1549343480187333,0.2606422039661227,-0.25011288335425863,-0.10995667214351101,64.4921568627451,-64.89976501464844,-18.980825,-8.901805,-0.5883371,-18.952776171196422,-11.018871275150339,-0.5862756668724217,0.9145578681290691,-0.9094895562058259,-0.2628745415353416,-18.937533540060937,-11.03402943442044,-1.0212576233343411,0.9145578681290691,-0.9094895562058259,-0.5590546974347131
54,0.1290850623398656,0.28103716886911434,-0.1587850806540556,-0.15460301172384128,64.4921568627451,-64.91963958740234,-18.952818,-8.868637,-0.5855233,-18.92213477716497,-11.04927580762423,-0.5884010223425121,0.9239257737580396,-0.9147823922276278,-0.2620431018141723,-18.906736014269,-11.064522180828027,-1.0400645610396357,0.9239257737580396,-0.9147823922276278,-0.5642081311588412
55,0.16033227529076055,0.2133901408780398,-0.09909788210086672,-0.06941800775950924,64.4921568627451,-64.94019317626953,-18.924747,-8.835196,-0.5826019,-18.89121870129477,-11.079823608410763,-0.5905300709643718,0.9310387784539743,-0.9180856549643234,-0.25851552859658367,-18.875701388320536,-11.095125035993505,-1.0589486298646633,0.9310387784539743,-0.9180856549643234,-0.5665220647508248
56,0.16450292902171368,0.24939612459286947,-0.11368968838778153,-0.10915072316810992,64.4921568627451,-64.96131896972656,-18.896624,-8.801483,-0.5795766,-18.860045521943753,-11.110489624514233,-0.5926423784650521,0.93935198260707,-0.9218753112439161,-0.25645009018588705,-18.844389655566967,-11.125854213034968,-1.0779539772709887,0.93935198260707,-0.9218753112439161,-0.5701604221897618
57,0.1359921787155241,0.1679374547099721,0.0047354194596766885,-0.020960196979560308,64.4921568627451,-64.98294067382812,-18.868454,-8.767504,-0.57645077,-18.828640490604236,-11.141216170767109,-0.5947163071379655,0.944949897764069,-0.9217174639285936,-0.25157789996213764,-18.8128913256415,-11.156578128499254,-1.0969826137850691,0.944949897764069,-0.9217174639285936,-0.5708590954224139
58,0.10783529089623634,0.1369789260310887,-0.16377379843271545,-0.0932160819171397,64.4921568627451,-65.00495147705078,-18.840246,-8.733262,-0.5732279,-18.797066061275416,-11.172031071674969,-0.5967470799538062,0.9495158619651053,-0.9271765905430174,-0.24924178106908615,-18.781240796909326,-11.187484014850687,-1.116114823723502,0.9495158619651053,-0.9271765905430174,-0.5739662981529852
59,0.16837586066162497,0.13534685917574926,-0.05320906917852267,-0.12254769391223519,64.4921568627451,-65.0272445678711,-18.812004,-8.69876,-0.56991106,-18.765340339843704,-11.202966518620391,-0.5987897105937766,0.9540274239376303,-0.9289502261823015,-0.2480013531530738,-18.749439882778073,-11.218449022390097,-1.1353831977662816,0.9540274239376303,-0.9289502261823015,-0.578051221283393
60,0.15697697682539966,0.06867085464959541,-0.07134779560597733,-0.1854097462394897,64.4921568627451,-65.04973602294922,-18.783737,-8.664003,-0.56650347,-18.733501275237646,-11.233971163824025,-0.6008896591990159,0.9563164524259501,-0.9313284860358341,-0.24896179102459784,-18.71756266769721,-11.249493305257957,-1.1548575826382164,0.9563164524259501,-0.9313284860358341,-0.5842315461580427
61,0.19591495930205796,0.038979098556076924,-0.08874027073780774,-0.1961207347328351,64.4921568627451,-65.07232666015625,-18.755451,-8.628993,-0.56300807,-18.70160240510203,-11.265064746842295,-0.6030785670206599,0.9576157557111526,-0.9342864950604277,-0.2503701693498166,-18.685642142506836,-11.280636188426637,-1.1745498794376321,0.9576157557111526,-0.9342864950604277,-0.5907689039824706
62,0.16246063216498313,0.11980449681812665,-0.07431578371110775,-0.11550560746122684,64.4921568627451,-65.09491729736328,-18.72715,-8.593734,-0.55942774,-18.66961532185787,-11.296248916557483,-0.6053103417218451,0.9616092389384235,-0.936763687850798,-0.249170238940743,-18.65358850120889,-11.31186164468833,-1.1943705158008937,0.9616092389384235,-0.936763687850798,-0.5946190908978448
63,0.18873429297787903,0.09663910787511647,-0.01991666056565753,-0.11429367348242003,64.4921568627451,-65.11746215820312,-18.698841,-8.558228,-0.55576503,-18.637507992166658,-11.327485437630601,-0.6075351743292264,0.9648305425342607,-0.9374275765363199,-0.24799981333765264,-18.621427483124414,-11.343109230572873,-1.2143181451346912,0.9648305425342607,-0.9374275765363199,-0.5984288800139255
64,0.2508447884113908,0.07511130023481502,-0.03480161916090099,-0.1614359669639036,64.4921568627451,-65.139892578125,-18.67053,-8.522477,-0.55202264,-18.605305245582052,-11.358752357748012,-0.6097721029860048,0.9673342525420878,-0.9385876305083499,-0.2484605731748978,-18.58918300803968,-11.374395484923152,-1.2344451477651153,0.9673342525420878,-0.9385876305083499,-0.6038100789127222
65,0.25937280909487104,0.0847053368541164,-0.07341173674414495,-0.11734436429825124,64.4921568627451,-65.1621322631836,-18.642221,-8.4864855,-0.54820305,-18.57301371197684,-11.390079396396482,-0.6120157742421969,0.9701577637705584,-0.9410346883998214,-0.24750138966458135,-18.556844415913993,-11.405763307869814,-1.2547025330225374,0.9701577637705584,-0.9410346883998214,-0.6077215577226639
66,0.1928976199453464,0.03448265549104727,-0.06638560950771152,-0.12342263513544793,64.4921568627451,-65.18413543701172,-18.61392,-8.450255,-0.5443086,-18.540655962820328,-11.421484100237315,-0.6142392805315644,0.97130718562026,-0.9432475420500784,-0.24678614475683858,-18.52446750972665,-11.437204892604816,-1.2750970545412212,0.97130718562026,-0.9432475420500784,-0.6118356455605122
67,0.22434956483698607,0.08653441204108979,-0.10367533041769478,-0.03896890824454147,64.4921568627451,-65.20582580566406,-18.58563,-8.413788,-0.5403416,-18.50823098195963,-11.452983282378105,-0.6163954376938169,0.9741916660216297,-0.946703386397335,-0.24329080805450715,-18.491994454192596,-11.468761672151395,-1.2955348748468434,0.9741916660216297,-0.946703386397335,-0.6131346091686636
68,0.1287051364874323,0.1007784960888882,0.010273629269280524,-0.03844998238855801,64.4921568627451,-65.2271728515625,-18.557358,-8.377087,-0.53630424,-18.475701938372193,-11.484534354352867,-0.618436151393797,0.9775509492245926,-0.9463609320883589,-0.23980941004674897,-18.459409422551776,-11.50030703655434,-1.3160154173551195,0.9775509492245926,-0.9463609320883589,-0.6144162752482821
69,0.19774468295350092,0.05851183966014195,-0.040114355313824006,-0.02392973196027448,64.4921568627451,-65.24813079833984,-18.529106,-8.340154,-0.5321988,-18.443084400153783,-11.516102004508763,-0.6203522052869676,0.9795013438799307,-0.9476980772654864,-0.23587168937909667,-18.42675937775578,-11.531896972463189,-1.3365225484544625,0.9795013438799307,-0.9476980772654864,-0.6152139329802913
70,0.16804285349933448,0.14489572337017564,-0.03821889134031635,-0.04431007762036465,64.4921568627451,-65.26864624023438,-18.500881,-8.30299,-0.5280273,-18.410353857733693,-11.547713173135024,-0.6221452385807698,0.9843312013256033,-0.9489720403101636,-0.23263707407211823,-18.393948337711592,-11.56352937380686,-1.3570789129733838,0.9843312013256033,-0.9489720403101636,-0.6166909355676368
71,0.16953624921505595,0.006850827952222346,0.02117513502039988,-0.07100395237685753,64.4921568627451,-65.2886962890625,-18.472685,-8.265598,-0.5237919,-18.377539011673978,-11.579333810514795,-0.6238380988641171,0.984559562257344,-0.9482662024761502,-0.23031101065647494,-18.361129685636346,-11.595138247222732,-1.3777141707727238,0.984559562257344,-0.9482662024761502,-0.6190577339801987
72,0.23033597653373186,0.05442018366941598,-0.012241146356026689,-0.21261345434548318,64.4921568627451,-65.3082275390625,-18.444523,-8.22798,-0.5194947,-18.34469012616336,-11.61094948456753,-0.6255151198672703,0.9863735683796578,-0.9486742406880178,-0.23271478370309545,-18.328250566690357,-11.626760721912332,-1.3985856657435587,0.9863735683796578,-0.9486742406880178,-0.6261448491250481
